epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,40.7086,1.25284,6.27208,0.97264,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000321939,0.000321939,0.000321939
77,41.2229,1.21683,3.25654,0.89425,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000313689,0.000313689,0.000313689
78,41.742,1.2313,3.94173,0.92201,0.00333,1,0.995,0.995,0.81429,3.97757,0.83057,0.000305109,0.000305109,0.000305109
79,42.2586,1.51535,9.70954,1.28952,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000296199,0.000296199,0.000296199
80,42.7422,1.1518,3.98161,1.02748,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000286959,0.000286959,0.000286959
81,43.239,1.396,3.66654,0.91564,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000277389,0.000277389,0.000277389
82,43.719,1.31826,2.45439,1.0206,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000267488,0.000267488,0.000267488
83,44.217,1.1723,2.39039,1.02927,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000257258,0.000257258,0.000257258
84,44.7193,1.09857,5.24163,1.25951,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000246698,0.000246698,0.000246698
85,45.2093,1.35023,3.25924,1.06578,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000235807,0.000235807,0.000235807
86,45.7157,1.24689,2.79619,1.21616,0.04926,1,0.07107,0.05449,1.00343,3.97754,0.96984,0.000224587,0.000224587,0.000224587
87,46.2035,1.31206,2.9168,1.1079,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000213036,0.000213036,0.000213036
88,46.6867,1.09042,2.45201,1.03049,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000201155,0.000201155,0.000201155
89,47.1681,0.89018,2.75113,1.16169,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000188944,0.000188944,0.000188944
90,47.687,1.20364,2.61403,0.91483,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000176404,0.000176404,0.000176404
91,53.2679,1.20361,5.54832,1.14761,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000163533,0.000163533,0.000163533
92,54.2935,1.01002,4.64118,1.24459,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000150332,0.000150332,0.000150332
93,54.9423,1.08096,4.37172,1.36511,0.28619,1,0.995,0.8955,0.80203,3.70407,0.87866,0.000136801,0.000136801,0.000136801
